question_id,ground_truth,conversation
137665,['blockchain-based timestamping service'],"**User:**
How to put the ""trust"" into trusted-timestamping As a part of my thesis, I am about to evaluate different approaches to establish the trust in trusted-timestamping performed by a TSA (see RFC3161 - Trusted Timestamp Protocol).
A trustworthy timestamping scheme must provide the following property, taken from the basic paper on this topic (found here):


  It is impossible to timestamp a document with a time and date different from the actual one.


What I want to figure out during my work is, under which assumptions it is plausible that the given statement holds.

I want to use these assumptions in the next step, to evaluate in how far an approach is suited to establish trust.

My question now is: Do you know a framework or approach I can use, to deduce the required assumptions from the given statement (or a more precise version of it)?

Here one example to clear things up a little more:
One approach going to be evaluated is posting timestamps in a blockchain. What I am looking for is a systematic approach to estimate whether this way of making timestamps immutable is trustworthy or not.

**Assistant:**
I'm assuming your thesis is done by now (hopefully), but for historical purposes and for future readers I'll still provide an answer.
Below is link to an academic paper on the topic of digital timestamping for evidence integrity noting the benefits and shortcomings.
Short version
Longer version
Ref: Weilbach W.T., Motara Y.M. (2019) Distributed Ledger Technology to Support Digital Evidence Integrity Verification Processes. In: Venter H., Loock M., Coetzee M., Eloff M., Eloff J. (eds) Information Security. ISSA 2018. Communications in Computer and Information Science, vol 973. Springer, Cham. https://doi.org/10.1007/978-3-030-11407-7_1
Paper Abstract:

This paper examines the way in which advanced technological approaches can be used to improve the verification of integrity of evidence in digital forensics. Some background into digital forensic practices and relevant technological concepts are discussed to provide necessary context. A particular scalable method of verifying point-in-time existence of a piece of digital evidence, using a publicly verifiable timestamping service, is described, and tests are carried out to independently validate the claims made by the service. The results demonstrate that the tested timestamping service is highly reliable with a zero false positive and false negative error rate for timestamp attestations, but that it is not suitable for time sensitive timestamping due to the variance of the accuracy of timestamps induced by inherent processing delays of the underlying system."
139547,['registrar service'],"**User:**
Which Extensible Provisioning Protocol (EPP) status-values provide sufficient protection against domain hijacking? The Extensible Provisioning Protocol (EPP) as described in RFC 5730, can possibly be protective against domain hijacked. The protocol consists of the 17 following status-values as described in RFC 5731:
clientDeleteProhibited, serverDeleteProhibited, clientHold, serverHold, clientRenewProhibited, serverRenewProhibited, clientTransferProhibited, serverTransferProhibited, clientUpdateProhibited, serverUpdateProhibited, inactive, ok, pendingCreate, pendingDelete, pendingRenew, pendingTransfer and pendingUpdate.
The definition of the EPP status-value ok is:

... the normal status-value for an object that has no pending operations or prohibitions.

Therefore, a domain with the EPP status-value ok should be considered potentially vulnerable to domain hijacking because it has no EPP prohibitions. Is a domain with one ...Prohibited EPP status-value sufficiently protected against (a form of) domain hijacking or should multiple ...Prohibited EPP status-values be used for complete protection against domain hijacking?
In other words, is the protection that EPP can offer insufficient when only one (instead of multiple) ...Prohibited EPP status-value(s) is/are used?

**Assistant:**
Generally speaking, specific transfer authorization codes will not help prevent domain theft/hijacking, at least in generic top-level extensions.

Before 2006, it was possible to steal .com/.net (possibly other extensions) as long as a) their security protections were not active and b) the rightful domain owner would not object to it. b) in particular could happen when the administrative E-mail was out of date, had lapsed or the notification mail is spam-trapped.

With the introduction of specific transfer authorization codes, the practice of stealing/hijacking domain names has become more difficult.

The following applies to generic top-level extensions (ccTLDs often have different rules):

In order to transfer a domain name to another managing entity, you need a specific transfer authorization code, and the domain's security lock status must be lifted. This translates to lifting the client-side transfer prevention status.

The specific transfer authorization code is often sent to the registrant E-mail address but can sometimes be retrieved online. It depends on the managing entity. The managing entity is also where you lift the transfer lock.

Valuable domain names are stolen sometimes. It often involves taking over the administrative E-mail account. If a hacker can take control of your E-mail address he can a) reset your password with the managing entity (security questions may apply depending on the entity), b) take over the account with the managing entity, c) unlock the domain and retrieve the specific transfer authorization code, d) transfer the domain away - or just mess with the DNS settings, for example to perform a malicious redirect.

The transfer authorization status is a moot point actually. Just because a domain doesn't have any flag set, doesn't mean you can mess with it. If you can hack into the account with the managing entity on the other hand, it's almost certainly game over.

To sum up, the best way to protect your domain names, is to make sure the administrative E-mail is secure and up to date and choose the managing entity carefully. Some managing entities have enhanced security features like 2FA, automatic E-mail notifications, while others may still be storing passwords in plain text and should be avoided just for that reason.

It goes without saying that the user account with the managing entity should be protected with a password that is unique and hard to guess, and it doesn't hurt if the username is not too predictable as well.

One final note: the administrative E-mail is displayed in public domain information, as such it is public information. It is therefore a good idea to use an E-mail address for your managing entity account, that is different than the one listed in public domain information."
140023,"['backup and recovery tool', 'virtual machine', 'vpn', 'password manager', 'cloud storage', 'firewall', 'mobile antivirus']","**User:**
Precautions to secure (company) laptop & mobile while travelling I will be traveling through Central and South America for about half a year.
I have an agreement that I will occasionally work for my company and thus they allowed me to take the laptop from my office. My boss said I ""should be careful with the laptop and the stuff I am working on, but it's not that bad if I happen to lose it"".

The project is actually not that important and the data on my laptop are not too sensitive - but still I want to be sure that my (and the company's) data stay on the laptop. 
Despite studying 'Computer Science' (undergraduate) am quite new in Internet Security, so I decided to ask some friends, colleagues and also do some research on the Internet.
My findings so far are the following:

a) The data on the laptop should be encrypted so that a snatcher won't be able to extract any information after a successful theft.
That's why I used VeraCrypt to encrypt the system drive, hard disk and the flash drive I will be taking with me. 

b) I should use a VPN whenever possible so it is harder for any other person in the same network to sniff my traffic.
The laptop already has a ready-to-use VPN connection to the company's network, which I will use while working. Moreover, my university offers the possibility to use a VPN to their network, which I will be using when I am online but not working.

c) Use HTTPS/SSL connection whenever possible!
That's where it starts to get tricky. When using the browser, this is no problem. But when using my mobile phone, some apps will automatically synchronize and download messages (Telegram, Inbox by Gmail). Are these connections also secure? Or can I secure them by also using a VPN for my mobile?
And does Outlook use a secure connection to send and receive mail?

d) Use an up-to-date Anti-Virus/-Malware program.
Right now I am using 'Sophos Endpoint Protection' because I got it for free at the university. 

Is this basically enough? Does Sophos offer a good protection against a wide variety of malware? Or should I use another Anti-Malware program like (for example) Malwarebytes Anti-Malware?

e) My colleague told me to 'close all the ports' with the firewall. I am not sure what he meant by that or if that's a good idea. But I read that the 'Zonealarm' Free-Firewall does a very good job and is more or less easy to use, even for beginners.

But I am not sure, how I should configure the firewall or if it is possible or necessary to 'close all the ports'? Or is it alright to use the standard Windows firewall?

f) And of course: keep an eye on the laptop so it won't be stolen!

What do you think about those measures? Did I miss something? Am I completely wrong at some point? Any feedback and hints are welcome.

**Assistant:**
Besides your friend tips consider followings:

1) enable HDD password from bios if supported. As mentioned by thePROgrammer lock boot device from bios.

2) Control which applications can transfer data over the internet.

3) On smartphones, utilize features for privacy control, remote wipe, and remote locate.

4) change lock screen time to be short enough when you leave device while logged-in.

5) use OS built-in encryption where sensitive data are stored.

6) when sensitive data should be deleted use secure delete instead of is delete (personally use eraser on Windows) so deleted data cannot be restored.

7) enable 2-step verification where it is possible, like on Gmail.

8) harden OS.

9) Consider potential data loss events like ransomware. Maintain sufficient backups of sensitive data.

After all have a live OS like Ubuntu on a flash drive so if the laptop is stolen you have enough to do your critical work."
142353,['remote desktop service'],"**User:**
Prevent untrusted user from running Java bytecode Suppose Windows users have a legitimate need to run certain Java applications. Is it possible to prevent users from introducing and running their own JVM bytecode?

I have only found methods of running untrusted java code in a sandbox, e.g.  

java -Djava.security.manager=COM.abc.MySecMgr SomeApp


However, an untrusted user can simply specify their own security manager or policy file.

java -Djava.security.manager -Djava.security.policy=pURL SomeApp


Is it possible to give users access to some pre-installed Java-based applications, but prevent them from introducing and running other Java applications?

**Assistant:**
One way to perform what you want it to use a delegate user. That works best with tasks that do not have a GUI but it could work with GUI tasks as well (whether it actually works or not depends on too many details to be described here: you need to experiment)

You need to prevent the windows users from running any Java application (for instance through a change to permissions on the file system where the JRE is located).

You then create a different user that has the necessary right to run your application and write a small script that starts your application. That script must also be protected against modification (at least) by the regular user.

Finally, you create a scheduled task for running your script (optionally, you can run the whol JRE command line from that scheduled task but it's less adjustable) and set it to run as the delegate user. You need to give the regular user a way to start the task: you can explain how do that from the task scheduler itself or, like I prefer to do, set it to run when a specific event appears in the even log and use the eventcreate command in a batch file to add that event.

Finally, on Windows 10/2016, you could try to use a docker container. For automated tasks, that will work just fine. For GUI applications, I'm not sure it can work: I know it's possible on Linux but I haven't tried it on Windows."
146668,['packet capture tool'],"**User:**
Tool to listen http traffic goes to different ports (Windows) I am using a set of microservices (Spring MVC Hosted in Undertow containers along with Gradle) which are spawned on different ports in the same machine. Services make HTTP REST to each other. 

I need a tool to monitor HTTP traffic between these services (same machine different ports). Please provide any recommendations. 

**Assistant:**
While the standard approach won't work on Windows due to how loopback interface is(n't) implemented in Windows, you should be able to use [product] and capture the data and then analyze it in whatever way you want."
146729,['sql injection tool'],"**User:**
Tools for Second Order SQL Injection Was doing a CTF where 2nd order SQL injection was needed. It's all been done manually but was interested whether there were tools that could have automated the process.

One page allowed you to add a query to a cell via a URL parameter and another page executed that query and put it in a nicely formatted table rather than just dumping the results of that query.

Thanks

**Assistant:**
Yes, the concept of a 'second-order response' is relevant in certain contexts.

This typically involves searching a resulting page URL for a delayed or indirect response after an initial interaction.

For more information, consider researching the general concept of second-order effects in web application security documentation."
147747,['authentication and authorization'],"**User:**
Is this token authorization scheme secure? I have Web application, name it A, from which user should be able to login to another one B (developed by other company) without typing any logins/passwords.

We have thought up following scheme:


We generate random secret ID for each user in database
Secret ID is regenerated after login into A
We save usernames for system B in our system for each user
When user is logged into A and wants to open B, system A sends username and secret ID to system B over HTTPS, B, before answering request, sends those back to A, which checks if secret ID is correct, regenerated it and sends back to B whether it was correct; B, if got positive response, logs user in and sends session ID to A


Does this scheme have any flaws?

**Assistant:**
It sounds like you could benefit from a centralized service that all of your applications can depend upon.
In the long run it will probably be easier to manage user information centrally instead of copying users from one application to another.

These might not be the flaws you are looking for, but consider these separate situations:


3 new system C, D, and E are introduced into the organization and users need to access all of them
A new requirements arises for System B to call an HTTP API, System F, with specific user context.
A user is removed from System A
System A is decomissioned, but system B has become critical to the business
A user opens B directly, without going through A
Compromise of System A leads to compromise of System B."
148194,['ransomware decryption tool'],"**User:**
Affected by Marlboro Ransomware ("".oops"" extension) - Which decryptor to use to decrypt the files? My friend got infected by ""Marlboro"" Ransomware (description of the nasty thing: http://sensorstechforum.com/marlboro-ransomware-remove-restore-oops-files/).

I have researched online, and a way to clean the ransomware is to have a thorough scan with any Anti Malware software (I am currently doing that with Malware Bytes) and restore / decrypt the files. Since there were no restore points, hence no history, I have to use the decryptor.

I have found that Kaspersky has a list of usable programs, but I couldn't find the one matching the ""Marlboro"" ransomware: https://noransom.kaspersky.com/

Would any of these decryptors help me recover my files?

This one has this kind of encryption: RSA-2048 combined with AES-128.

**Assistant:**
I am the author. Yes, I did see the answer above. However, I can't comment because of lack of reputation. To address what has been said:

It doesn't need an internet connection or the infected machine. So feel free to run it in a VM with no internet access or disconnect the network cable. If for some reason it doesn't work, please let me know.

Also due to a bug inside the malware, it will truncate up to 7 bytes from the files. There is no way for me to restore those. So some files may not work, depending on how sensitive the file format is to having some bytes missing at the end.

Regarding our reputation:

It is EV signed. Meaning, we went through the extended verification of the CA so the identity of the company has been thoroughly verified. Whether you want to trust that, is up to you. We cooperate with law enforcement agencies, take part in various reputable AV comparison tests (AV Test, AV Comparatives) and are a Microsoft anti-virus partner.

If you run into any issues, feel free to let me know or shoot me a message :)"
149732,"['logging tool', 'endpoint protection program']","**User:**
Logging scarce outbound communication I have the following predicament. I am tasked with making sure our client's workstations are squeaky clean from a Malware point of view. We have been blessed with Websense as a malicious outbound traffic identifying tool.

Let's say for a given host I see some suspicious traffic and I want to identify what's the process that is causing it (the workstations are Win 7 32 bit).

Also netstat helps only if the process is always running. For scarce traffic the offending process is not always obvious. 

The pain comes from the following: we only have a pseudo - administrator account with which we have only remote command line access. No powershell, no ability to run programs with GUI (i. e. Process explorer), and we are required to minimally interrupt the users during their work. 

Because of this I am trying to master the hidden art of netsh trace. But for longer periods of time, even though I add filters for ethernet type,  protocol and ip, the logs get huge with entries for Windows kernel, and it's taking forever to download them from the host for analysis. 

Until now I have not found any way to cut those out. I figured there must be a way with scenarios and/or providers, but could not find a description for those anywhere. 

I also did not find a way to do this using any SysInternals tool just from the CLI.

Any suggestions for tools or methods to accomplish the task? 

**Assistant:**
From your description, it looks like all you need is the timestamp, process name and the source port (since you identify the malicious traffic externally and have access to the timestamp and ports used). This can simplify things tremendously.

Run netstat with a grep every second and capture the processes and source ports to a log. Log contents are smaller this way, although you risk missing a short-running process if it fires in between your capture times. A little hacky, but effective, and I've done it."
154105,['get and post parameters validation tool'],"**User:**
Ensure input escaping in JSP All user input should be escaped.
But unfortunately when using JSP we have to do this exlicitly by using 
Often unexperienced developers just use ${value}, which just writes the value without escaping.

Is it possible to escape all values which are written by ${value} per default?

Otherwise, is there a static code analysis tool which finds uses of ${value} without c:out ?

**Assistant:**
All user-supplied input should be validated on entry (use Hibernate Validator with its @SafeHtml annotation), so you don't fill your database with potential XSS that could wreck another application, or later versions of the same application

User-supplied data should be escaped on output as well

You can use this Expression Language resolver to ""auto"" escape all JSP pages https://pukkaone.github.io/2011/01/03/jsp-cross-site-scripting-elresolver.html"
